name,score,date
"Fixi Hartmann 2",9640,"2026-07-14 10:50:14"
"almost black???",9440,"2026-07-14 11:20:07"
mrbeast,9368,"2026-07-14 11:12:00"
kake,9360,"2026-07-14 11:23:33"
ez,9240,"2026-07-14 11:03:00"
"Fixi Hartmann",8840,"2026-07-14 10:23:49"
ju099,8472,"2026-07-14 11:13:08"
"Marlon (Original)",8368,"2026-07-14 10:58:38"
"mit 1 fehler leider",7368,"2026-07-14 11:01:38"
"Marlon (Original)",4328,"2026-07-14 10:57:42"
"Liam und Julyan",3904,"2026-07-14 10:26:49"
"Marlon (Original)",2736,"2026-07-14 10:46:45"
Netan,1328,"2026-07-14 11:06:14"
Marlon,-100,"2026-07-14 10:36:52"
